t,true_x,true_y,true_xvel,true_yvel,obs_x,obs_y,est_x,est_y,est_xvel,est_yvel
0,0,0,10,-5,0.11981784068171374,0.04553633636368829,0.11801692825190907,0.03685463494027737,10.001080547457883,-4.994790979145954
0.01,0.09438035315590092,-0.050179788359511764,9.636501462965327,-5.5496396530779215,0.09445972196933362,-0.18691290735861443,0.15866599792191596,-0.09659575219808811,9.89487072921142,-5.144193331047215
0.02,0.20073603171932197,-0.10234283949297591,11.30605847337653,-4.980309103135843,0.14099955543885623,0.021074595421052875,0.21763052883093473,-0.09005366471646284,9.630878573559745,-4.7613587192849245
0.03,0.31216976475987207,-0.14927784086223692,11.351010506145514,-4.149849875852318,0.27894658329140143,-0.295576503850414,0.30356236605527404,-0.18449458196138674,9.488814563490802,-5.402441045250232
0.04,0.42404201662196855,-0.19860342087731891,11.728486735824207,-4.788348481148189,0.32524982321493623,-0.284007988800572,0.3768429452782442,-0.2519465506911591,9.058890107949624,-5.669608368564038
0.05,0.5457447953830687,-0.2522241512203896,12.411188598934604,-5.930090410027515,0.39814190967325325,-0.2523550959152047,0.4456392242046821,-0.2909394423071508,8.552712186874976,-5.25841576882714
0.060000000000000005,0.678721311036315,-0.3166025009398262,13.701386534150476,-7.319479380074245,0.5720145802233058,-0.2622622290666512,0.5449449056116573,-0.31611324405710184,8.88595207082745,-4.5954855251655236
0.07,0.8214481982102209,-0.3831637129763562,13.972415288613044,-6.3458093024947555,0.8640068241489028,-0.2953031505508102,0.7153754049481934,-0.3384102996523971,10.841785190476108,-4.028240790775515
0.08,0.9628141311593679,-0.4469126312793666,14.640944846988653,-5.818811667804799,1.1036182317770598,-0.38390774145065226,0.9255479896990766,-0.38058908718264745,13.224203092948725,-4.072641366907429
0.09,1.1182547413739399,-0.5020781971733628,16.204640672377597,-6.005222969285821,1.005617459341361,-0.5361304320312659,1.0386445875923873,-0.46344840600756565,12.786335630558549,-5.036246015016226
0.09999999999999999,1.275286419732586,-0.5598262747571366,15.546780978142358,-6.037336384651542,1.2910039721560203,-0.6002115265256931,1.2121821887813569,-0.5455089450036885,13.81289844381896,-5.748684043890955
0.10999999999999999,1.4321906469096364,-0.6124005225266602,15.40502488839465,-3.2815829090416466,1.6619299993446166,-0.6538858538343023,1.464163912907641,-0.6215889294491946,16.34489832624672,-6.162181677480075
0.11999999999999998,1.5880941158043795,-0.642560068534792,15.383499812563931,-3.015855348967092,1.6951398709054435,-0.5885600772075682,1.6521665105278553,-0.6487946327398529,16.888179714079346,-5.400679373784791
0.12999999999999998,1.7353765972144481,-0.6660124339154881,15.009185527197205,-2.462811827578742,1.752579459416208,-0.5905800737259564,1.7962499460485934,-0.6621565820256788,16.34032262483772,-4.502734319376245
0.13999999999999999,1.8832977904036472,-0.6960754816198491,15.172349602618922,-2.7520574437843943,1.748425691049149,-0.8388795741002399,1.8833514161656193,-0.7547563775589798,14.654076495583377,-5.5540713748247335
0.15,2.0350476927872587,-0.7303039902630971,15.004680082284063,-3.771868288456427,2.1637430463139014,-0.5719005194990807,2.078172066815745,-0.7243076640423397,15.722124176586284,-3.6518131763988384
0.16,2.194771371198965,-0.7729305383255862,15.877588642589638,-3.784674902486401,2.1898495417929373,-0.8637317192486995,2.2189762241684763,-0.7979201195939005,15.358571113317693,-4.473259585729746
0.17,2.350854137136948,-0.8154474463472908,15.387180429455547,-4.53795308674346,2.307301593397504,-0.7832317845732356,2.3490411770510256,-0.8212365642416232,14.837304563662832,-3.9986352930539817
0.18000000000000002,2.507641072566427,-0.8670972088771927,15.87721867768845,-5.042971282035147,2.5619915805116333,-0.780179433717413,2.520690689686189,-0.8320113477979146,15.353401126069373,-3.3509429032467843
0.19000000000000003,2.666867299863436,-0.91339941071217,15.641543116161541,-5.024375444892399,2.604156791698076,-0.7934111176334893,2.6489654606293342,-0.8395254926782172,14.793213750841272,-2.7744318991769923
0.20000000000000004,2.8283274850527964,-0.96694374579147,16.772980471008324,-5.072435152920554,2.923280162227712,-0.815091488742634,2.8424642027956017,-0.8484571769552166,15.803838814948937,-2.3571850951324955
0.21000000000000005,3.002400468330514,-1.01757483437519,17.555955128839976,-5.079561528703115,3.210946264714038,-1.079056582517713,3.0763840005723417,-0.9466786592982951,17.486796858883064,-4.012823785091041
0.22000000000000006,3.168446489440945,-1.0696274818642815,15.966028734519961,-5.397269678292876,3.042138909897815,-1.1356764631296714,3.1758465958265862,-1.0404886960787372,15.814468894580736,-5.203369890148709
0.23000000000000007,3.3112520200806888,-1.1216810446304062,13.354542079938547,-4.991445939264178,3.4143711534644527,-1.1892041275077818,3.362976504641713,-1.12738611546469,16.457269680182158,-5.9765372843392885
0.24000000000000007,3.444886602541721,-1.177766236401318,12.4856966484829,-5.97863473526227,3.387364710415979,-1.266526450566153,3.476998219893793,-1.2157743568094954,15.336246128144818,-6.611280838930366
0.25000000000000006,3.5584841309413573,-1.2381836386191152,11.204580627347504,-5.924009578862954,3.5717060142553536,-1.311190014844352,3.609209771243406,-1.2924537912857859,14.8672111650505,-6.845602534437262
0.26000000000000006,3.673538662236621,-1.2965303555936036,11.450796471368296,-6.397031558834956,3.7528783223935864,-1.4449020528525494,3.7560776118433488,-1.3911972010393656,14.827200701984285,-7.517237915883481
0.2700000000000001,3.7972630713335405,-1.3489453564737777,12.8043099273313,-4.540994950215294,3.9798124148918785,-1.1531430309632433,3.931561106566127,-1.3534217324998492,15.430624902218165,-5.012580125410526
